Name of the college,District
Shaskiya Rajmahant Nayandas Mahilang Mahavidyalaya,
Shaskiya Ramanand Sanskrit Mahavidyalaya,Bhopal
Shaskiya Sanskrit Mahavidyalaya,Panna
Shaskiya Sanskrit Mahavidyalaya,Sidhi
Shaskiya Shivnath Vigyan Mahavidyalaya,
Shaskiya Snatkottar Mahavidyalaya,
Shaskiya Venkat Sanskrit Mahavidyalaya,Rewa
Shastrarth Mahavidyalaya,
Shastri Deepan Chaudhary Mahavidyalaya,
Shatabdi Center for Education Excellence Mahavidyalaya,
Shatabdi Institute of Education,
Shavarathi First Grade College,
Sheela Devi Rambharose Lal Mahavidyalaya,
Sheikh Hamza College of Education,Kashmir
Sheikh-ul-Alam Memorial Degree College,Kashmir
Shekh Shahid Mahila Mahavidyalaya,
Shekhawati Institute of Engineering and Technology,
Shekhawati Institute,Sikar
Shekhawati P.G. Mahavidyalaya,
Sheodani College (Rural),
Shershah College,
Sheth B J Institute of Learning & Research H.R. Arts College Comp.,
Sheth Brijal Sevakram Law College,
Sheth C.D. Carfiwalal Commerce College,
Sheth H.J. Law College,
Sheth H.P. Arts & Talod Shahkari Mandali Commerce College,
Sheth K.M. School of Post-Graduate Medicine and Research,
Sheth L.H. Science College,
Sheth L.U.Jhaveri College of Arts and Sir M.V. College of Science and Commerce,Mumbai
Sheth M.N. Contractor College of Education,
Sheth Motilal Nayalchand Science College,
Sheth Motilal Nyalchand Law College,
Sheth Purushottamadas Thakurdas Arts and Science College,
Sheth R.A. College of Arts and Commerce,
Sheth R.A. College of Science,
Sheth Shoorji Vallabhdas Arts and Commerce College,
Sheth Shri I.M. Patel College of Education,
Sheth T.C. Kapadia Arts College,
Sheth T.J. Education Society’s, Sheth Nanjibhai Khimjibhai Thakkar Thanawala College of Commerce & Sheth Jayantilal Tribhovandas Thanawala College of Arts,
Shia Degree College,
Shibli National College,
Shibu Soren Janjatiya Degree College,Sahibganj
Shidheshwari Sanskrit Mahavidyalaya,
Shikaripara Mahavidyalaya,
Shiksha Mandal’s, Wardha Bajaj Institute of Technology,Wardha
Shiksha Snatak Mahavidyalaya,Raipur
Shikshak Sanchalit Shikshan Sansthan's Arts & Commerce College,
Shikshan Maharishi Guruvaya R.G. Shinde Mahavidyalaya,
Shikshan Maharshi Dnyandeo Mohekar Mahavidyalaya,
Shikshan Maharshi Dr. Bapuji Salunkhe Mahavidyalaya,
Shikshan Maharshi Shri Krushnrao Zoting Patil Arts & Commerce College,
Shikshan Mahavidyalaya,
Shikshan Mandal's Mahila Mahavidyalaya,
Shikshan Prasarak Mandal Andur's Jawahar Arts Science & Commerce College,
Shikshan Prasarak Mandal’s Sahebrao Shankarrao Dhamdhere Arts & Commerce College,Pune
Shikshanmaharshi Bapuji Salunkhe Mahavidyalaya,
Shillong College,
Shillong Commerce College,
Shillong Law College,
Shimurali Sachinandan College of Education,
Shirakole Mahavidyalaya,South Twenty Four Parganas
Shirdee College of Education,Jammu
Shiri Kumaran College of Arts and Science College,Coimbatore
Shirmati Savitarani Narayandas Jawan - Dhiya Mahavidyalaya,
Shirpur Education Society’s Smt. H.R. Patel Arts Mahila College,
Shishu Ananta Mahavidyalaya,
Shitrikamji Bhai Chatwani Arts and J.V. Gokal Trust Commerce College,
Shiv Adarsh Mahavidyalaya,
Shiv College of Education,
Shiv Harsh Kisan P.G. College,
Shiv Lok Sadhana Kaksha Degree College,
Shiv Mahavidyalaya,
Shiv Mahesh Shaikshik Sansthan,
Shiv Mandir Chhuttan Lala Kaka Girls Degree College,
Shiv Moorat Singh Mahavidyalaya,
Shiv Nandan Nand Kishore Mishra College,
Shiv Nandan Prasad Mandal Law College,
Shiv Prasad Sadanand Jaiswal Arts & Commerce College,
Shiv Prasad Sanskrit Degree College,
Shiv Savitri Mahavidyalaya,
Shiv Shakti Arts and Science College,
Shiv Shakti Girls Degree College,Sitapur
Shiv Shakti Mahavidyalaya,Aligarh
Shiv Shankar Chaturvedi Mahavidyalaya,
Shiv Shankar Singh Mahavidyalaya,Azamgarh
Shiv Shanker Singh Shiv Ram Singh Mahavidyalaya,
Shiv Shyam Mahavidyalaya,Allahabad
Shiva College,Durg
Shiva Degree College,
Shiva Nath Verma Smarak Mahavidyalaya,
Shivai Shikshan Prasarak Mandal’s Sundarrao More Arts, Commerce & Science College,Raigarh
Shivaji Arts & Commerce College,
Shivaji Arts, Commerce & Science College,
Shivaji College of Education,
Shivaji College,
Shivaji Law College,
Shivaji Mahavidyalaya,
Shivaji Vidyapeeth Mahavidyalaya,
Shivajirao Kadam Institute of Technology and Management – Technical Campus,
Shivalik College of Education,Jammu
Shivalik College of Engineering,Dehradun
Shivam College,
Shivanand College,
Shivangi Mahila Mahavidyalaya,Jaunpur
Shivani College of Engineering and Technology,Tiruchirappalli
Shivani Engineering College,Tiruchirappalli
Shivanshu Susheel Mahavidyalaya,Bahraich
Shivapati Deree College,
Shivchhatrapati College,
Shivdarshan Mahavidyalaya,Banda
Shivdulari Devi Daldapat Shahi Mahila Mahavidyalaya,Kushinagar
Shivjagruti Senior College,
Shivkali Yadav Jagpatti Balika Mahavidyalaya,,
Shivkumari Sahab Mahavidyalaya,Mau
Shivlok Shrinet Mahavidyalaya,
Shivmohan Singh Ramautar Mahavidyalaya,
Shivnagar Vidya Prasarak Mandal’s Institute of Management,Pune
Shivneri Mahavidyalaya,
Shivpal Singh Mahavidyalaya,
Shivraj College of Arts & Commerce and D.S. Kadam Science College,
Shivraj Smarak Mahavidyalaya,
Shivramji Moghe Arts, Commerce and Science College,Yavatmal
Shivsagar Sevabhavi Shikshan Prasarak Mandal’s, Kala Mahavidyalaya,
Shivsakhi Memorial Degree College,Ghazipur
Shivvati Shivnandan Shukla Mahavidyalaya,
Shiwanand Degree College,
Shobha Singh Yadav Govt. College,
Sholapur Social Association’s Arts and Commerce College,
Shra Shiva Shahu Mahavidyalaya,
Shram Sadhana Bombay Trust’s College of Engineering and Technology,
Shram Safalya Education Society’s Pandit Jawaharlal Nehru College of Social Work,
Shrama Shakti College,
Shramdham Arts, Science & Commerce,
Shramjivi Shikshan Prasarak Mandal Adarsh Mahavidyalaya,
Shree Agrasain College.,
Shree AgraseN Mahavidyalaya,
Shree Ambaji Arts College,
Shree Anant Krishi Vikas Pratishthan’s, Sau. Kesharbai Sonajirao Kshirsagar alias Kaku College of Agriculture,
Shree Anant Krishi Vikas Pratishthan’s, Sau. Kesharbai Sonajirao Kshirsagar alias Kaku College of Food Technology,
Shree Arjunlal Hirani College of Journalism and Performing Arts,
Shree Babu Lal Mahavidyalaya,
Shree Bajrang Mahavidyalaya,
Shree Balaji Academy,
Shree Bankey Bihari Dental College & Research Centre,
Shree Benakappa Shankrappa Simhasanad Government First Grade College,
Shree Bharat Sarasvati Mandir Sansad Shri Mahendra Kumar Navinchandra Kampani Arts and Shri Amitkumar Kishorchandra Shah Commerce College,
Shree Bharatesh Vidya Mandal’s Bharatesh College of Education,Belgaum
Shree Bhikhabhai Patel Arts College,
Shree Bhuvneshwari Raja Mahavidyalaya,Patna
Shree C.U. Shah College of Commerce, Management and Computer Education,
Shree Chanakya Education Society’s Indira College of Commerce and Science,Pune
Shree Chanakya Education Society’s Indira College of Engineering and Management,Pune
Shree Chanakya Education Society’s Indira College of Pharmacy,Pune
Shree Chanakya Education Society’s Indira School of Business Studies,Pune
Shree Chhatradhari Sanskrit Mahavidyalaya,
Shree D.D. Kotiyawala Municipal Law College,
Shree D.R. Mahila Mahavidyalaya,,Varanasi
Shree Dauji Maharaj Degree College,Agra
Shree Dhabaleswar College of Science & Technology,
Shree Dhanvantary Pharmacy College,Surat
Shree Dnyanraj Mauli Shikshan Seva Mandal’s Achievers College of Commerce & Management (Night College),
Shree Doodh Nath Sarvodaya Mahavidyalaya,Jhansi
Shree Ganga Shardul Rajakiya Acharya Sanskrit College,Bikaner
Shree Gopal Banerjee College,
Shree Gorakshnath Sanskrit Vidyapeeth P.G. College,Gorakhpur
Shree Guru Gobind Singh Ji Government College,Sirmaur
Shree J.B. Dharukawala Mahila Arts College,
Shree J.M. Patel Arts College,
Shree J.M. Patel Institute of Social Work & Applied Arts,
Shree J.M. Patel Post Graduate Studies & Research in Humanities,
Shree J.S. Parmar Arts & Commerce College,
Shree Jagannath Mohavidyalaya,
Shree Jagveer Singh Chauhan Smrati Mahavidyalaya,
Shree Jai Mangal Sanskrit  Mahavidyalaya,
Shree Ji Baba Institute,
Shree K.S. Degree College,,
Shree Kishor Goswami Mahavidyalaya,Mahoba
Shree Kokilaben Karsanbhai Patel Girls Science College,
Shree Kongadiyappa First Grade College,
Shree Krishna College,Sitapur
Shree Krishna Educational Institute,,Sitapur
Shree Krishna Sharda Devi Mahila Mahavidyalaya,Mirzapur
Shree L.R. Tiwari College of Engineering,Thane
Shree L.R. Tiwari Degree College of Arts, Commerce & Science,Thane
Shree Laxminarayan Ayurvedic College,Amritsar
Shree M.R. Desai (Sanjay Farm) Arts & Shree Ibrahimbai I Laher Kosadia (Alipore) Commerce College,
Shree M.S. Chauhan Mahavidyalaya,
Shree Mahanth Vaidehi Sharan Sanskrit Mahavidyalaya,
Shree Mansa Ram Bramha Ji Mahavidyalaya,Mau
Shree Medha Degree College,,
Shree Meghmani Parivar and Shree Bhailalbhai A Patel (Detrowale) Umiya Arts and Commerce College for Girls,
Shree Mehendra Das Degree College,
Shree Mohan Dhansira Mahavidyalaya,
Shree Morarji Desai Arts and Commerce College,
Shree Narayana College,
Shree Neelkanta Vidhi Mahavidyalaya,
Shree Neminath Jain Brahmachayrasram’s Shriman Sureshdada Jain College of Pharmacy,Nashik
Shree Niranjana Swamy First Grade College,
Shree P.M. Patel College of Education (B.Ed),
Shree P.M. Patel College of Paramedical Science & Technology,
Shree P.M. Patel Institute of Biosciences,
Shree P.M. Patel Institute of Business Administration,
Shree P.M. Patel Institute of Integrated M.Sc. in Biotechnology,Anand
Shree P.M. Patel Institute of P.G. Studies & Research in Science,
Shree Pandharinath Arts Commerce College,
Shree Purushottam Singh Mahavidyalaya,
Shree Radhey P.G. College,
Shree Raghavendra Arts and Science College,
Shree Raghukul Mahavidyalaya,
Shree Raghuvir Saran Degree College,
Shree Rahul Education Society’s Rahul College of Education,Thane
Shree Rahul Education Society’s Shri. L.R. Tiwari College of Law,,Thane
Shree Rajendra Suri. Govt. College,
Shree Rajroop Memorial Mahavidyalaya,Kushinagar
Shree Ram Institute of Management & Technology,
Shree Ram Mahavidyalaya,
Shree Raman Singh Degree College,
Shree Ramchandra Education Society’s Shree Ramchandra College of Engineering,Pune
Shree Ramprakash Sanskrit Mahavidyalaya,
Shree Rang Navchetan Mahila Arts College,
Shree Rangey Raghav Mahavidyalaya,Bharatpur
Shree S.D. Patel Arts & C.M. Patel Commerce College,
Shree S.P. Patel Arts College,
Shree Sahajanand Vanijya Mahavidyalaya,
Shree Sarvajanik College of Education,
Shree Sathyam College of Engineering and Technology,,Salem
Shree Shivaji Arts, Commerce & Science College,
Shree Shree Gourgobind Girls’ College,
Shree Shukdev Prasad Tripathi Smarak Sanskrit Vidyapeeth,Kushinagar
Shree Siddhi Vinayak Mahavidyalya,
Shree Sidhi Vinayak College of Law,  Jamunavata, Goverdhan Road,  Mathura-281 001,  Uttar Pradesh,Mathura
Shree Tejendraprasadaji Swaminarayan Arts College,
Shree Thakorbhai patel, Arts & Commerce College,Bharuch
Shree U.H. Chaudhari Arts College,
Shree V.M. Sakariya Mahila Arts College,
Shree Veereshwar Arts College,
Shree Venkateshwara Arts & Science (Co-Education) College,Erode
Shree Venkateshwara Hi-Tech Engineering College,Erode
Shreemati Gangabai Khivaraj Ghodawat Kanya Mahavidyalaya,
Shreemati Shivraji Maurya Sanskrit Mahavidyalaya,
Shreenath Alaknanda Mahavidyalaya,Ghazipur
Shreenivasa Engineering College,Dharmapuri
Shri  Hazari Lal Mahavidyalaya,
Shri & Smt. P.K. Kotawala Arts College,
Shri Aaijee Mahila Mahavidyalaya,Jodhpur
Shri Aanasagar Mahila Shiksha Shastri College,
Shri Aayaz Hussain Post Graduate College,
Shri Abhimanyu Yadav Mahavidyalaya,Jaunpur
Shri Acharya Tulsi Amrit Mahavidyalaya,
Shri Adarsh Ramanand Sanskrit College,
Shri Adarsh Sanskrit College,
Shri Agrasen Degree College,
Shri Agrasen Kanya Mahavidyalaya,Korba
Shri Agrasen Kanya P.G. College,
Shri Agrasen Mahavidyalaya,
Shri Akhil Anjana Kelavani Mandal Sanchalit B.C.A. College,
Shri Akshaibar Singh Memorial Mahavidyalaya,
Shri Alpesh N. Patel Post Graduate Institute of Science & Research,,Anand
Shri Ambabai Talim Santha’s Sanjay Bhokare Group of Institutes Faculty of Engineering Management and Polytechnic,Sangli
Shri Amolak Jain Vidya Prasarak Mandal’s Smt. Shantabai Kantilal Gandhi Arts, Amolak Science & Panalal Hiralal Gandhi Commerce College,
Shri Anand College,
Shri Anandaneshwar Arts, Science and Commerce College,
Shri Asaramji Bhandwalder Arts Commerce and Science College,
Shri Asha Ram Digambar Jain Girls College,
Shri Atal Bihari Vajpayee Government Arts and Commerce College,
Shri Aurobindo College (Evening Classes),
Shri Aurobindo College,
Shri Ayurveda Mahavidyalaya,
Shri B.M. Kankanawadi Ayurved Mahavidyalaya,
Shri B.S.D.P. Mahavidyalaya,
Shri B.Sham Sunder Memorial College of Physical Education,
Shri Babasaheb Deshmukh Parwekar Mahavidyalaya,Yavatmal
Shri Babasaheb Dhabekar Arts & Commerce College,
Shri Babbu Singh Mahavidyalaya,Mahoba
Shri Babu Kaliram Rakesh Rajkiya Mahavidyalaya,
Shri Babu Singh Balika Degree College,Farrukhabad
Shri Babu Singh Daddu Ji Krishi Mahavidyalaya,Farrukhabad
Shri Babu Singh Degree College,
Shri Babu Singh Degree College,Farrukhabad
Shri Babu Singh Degree College,Kaushambi
Shri Babu Singh Jay Singh Ayurvedic, Medical College & Hospital,Farrukhabad
Shri Babunandan Adarsh Mahavidyalaya,Ghazipur
Shri Bachchu Ram Singh Ram Swaroop Singh Mahavidyalaya,Fatehpur
Shri Baijnath Girls Institute of Education and Management,Bara Banki
Shri Bajrang Degree College,
Shri Bajrang Singh Mahavidyalaya,
Shri Bajrang Teachers' Training College,
Shri Bajrangi Mahavidyalaya,
Shri Balaji Adhyapak Mahavidyalaya,Washim
Shri Balaji Degree College,
Shri Balaji Maharaj Mahavidyalaya,
Shri Balaji Maharaj Mahavidyalaya,Hatras
Shri Balaji Mahavidhyalay,Hardoi
Shri Balaji Mahavidyalaya,
Shri Balasaheb Mane Shikshan Prasarak Mandal’s,Kolhapur
Shri Baldeo Singh Bhalesultan Mahavidyalaya,
Shri Banke Bihari Mahavidyalaya,Auraiya
Shri Bankey Lal Memorial Degree College,Moradabad
Shri Bhagwan Mahavir Post-Graduate College,
Shri Bhagwan Shiv Mahavidyalaya,
Shri Bhagwandas Sanskrit Mahavidyalaya,Hardwar
Shri Bharat Singh Kamla Mahavidyalaya,,
Shri Bhawanand Sanskrit Mahavidyalaya,
Shri Bhawani Niketan Mahila College,
Shri Bhawani Singh Mahavidhyalaya,Agra
Shri Bhogilal Pandya Govt. College,
Shri Bhoomiraj Singh Lila Devi Mahavidyalaya,
Shri Bhuwaneshwari Sanskrit Mahavidyalaya,Mirzapur
Shri Birla Acharya Sanskrit College,
Shri Brajraj Singh Mahavidyalaya,Etah
Shri C.P. Degree College of Physical Education,
Shri C.V. Shah Law College,
Shri Chandra Swami Degree College,
Shri Chandrabhan Singh Mahavidyalaya,Agra
Shri Chandrashekhar Mallikarjun Mamani Government First Grade College,
Shri Channabasaveshwar Arts, Science & Commerce College,
Shri Chatrapati Shivaji Shikshan Mandal's College,
Shri Chetram Singh Mahavidyalaya,
Shri Chhatrapati Shahuji Maharaj Mahavidyalaya,Gonda
Shri Chhatrapati Shikshan & Arogya Prasarak Mandal’s Shri Sant Gajanan Mahavidyalaya,Ahmadnagar
Shri Chhote Lal Jagroop Singh Yadav Mahavidyalaya,Unnao
Shri Chinai College of Commerce and Ecnomis,
Shri Chitarmal Mahavidyalaya,Agra
Shri Chunibai Nagjibhai Patel Fertikuiwala Arts & Dabhol N. Science College,
Shri Cloth Market Kanya Vanijya Mahavidyalaya,
Shri D.P. Verma Memorial Degree College,
Shri D.V. Raval Arts & Commerce College,
Shri Dadu Acharya Sanskrit College,
Shri Dadu Balram Singh Sanskrit Mahavidyalaya,
Shri Dalchand Singh Mahavidylaya,
Shri Danrajji Shrichandji Badamia College of Professional Studies,Pali
Shri Darshan Mahavidyalaya,
Shri Darshan Singh Mahavidyalaya,
Shri Datta Arts & Commerce College,
Shri Dayanand Mahavidyalaya,
Shri Deendayal Kushwaha Mahavidyalaya,
Shri Deep Chandra Choudhary Mahavidyalaya,Lalitpur
Shri Devi Prasad Mahavidyalaya,
Shri Devi Singh Institute of Education,
Shri Dhaneshwar Degree College,
Shri Dharmasthala Manjunath Eshwara College of Business Management,
Shri Dharmjeet Singh Mahavidyalaya,
Shri Dhokeshwar College,
Shri Digambar Jain Adarsh Mahila Sanskrit P.G. College,
Shri Digamber Jain Acharya Sanskrit College,
Shri Digamber Jain Adarsh Mahila Teachers Training College,
Shri Dnyanesh Mahavidyalaya,
Shri Dnyaneshwar Mahavidyalaya,
Shri Dnyaneshwar Shikshan Sanstha Sanchalit, Shivchhatrapati Arts College,
Shri Dr. R.G. Rathod Arts & Science College,
Shri Draunacharya Degree College,
Shri Durga Prasad Sarraf College,
Shri Durga Sanskrit Mahavidyalaya,Mahoba
Shri Durga Shiksha Neketan Mahavidyalaya,
Shri Durga Shiksha Niketan Mahavidyalaya,
Shri Durgaji Sanskrit Mahavidyalaya,
Shri Dwarkadhish Sanskrit Academy and Indological Research Institute,
Shri Fateh Singh Mahavidhyalay,Aligarh
Shri G.S. Institute of Technology and Science,
Shri Gadge Maharaj Mahavidyalaya,
Shri Gajanan Maharaj Arts & Commerce College,Yavatmal
Shri Gajanan Maharaj Shikshan Prasarak Mandal’s Sharadchandra Pawar College of Pharmacy,Pune
Shri Gajanand Shital Yadav Mahavidyalaya,,Mirzapur
Shri Gandhi Degre (PG) College,
Shri Gandhi P.G. College,
Shri Gandhi Smarak Degree College,
Shri Ganesh Arts College,
Shri Ganesh College of Education,
Shri Gauri Shankar College,Firozabad
Shri Gauri Shankar Sanskrit College,
Shri Gayadeen Mahavidyalaya,
Shri Ghurai Lal Verma Science Mahavidyalaya,
Shri Girija Prasad Dwivedi Mahavidyalaya,
Shri Girraj Maharaj Mahavidyalaya,
Shri Gnanambica Degree College,Chittoor
Shri Gopalji Mahavidyalaya,
Shri Gopi Chand College of Pharmacy,
Shri Gopichand Mahavidyalaya,
Shri Gosar Hansraj Gosrani Commerce & Shri D.D. Nagda B.B.A College,Jamnagar
Shri Goverdhan Sanskrit College,
Shri Govind Degree College,
Shri Govind Guru Government College,Banswara
Shri Govind Singh Gurjar Rajkiya Mahavidyalaya,
Shri Govindprabhu Arts and Commerce College,Chandrapur
Shri Govindrao Munghate Arts & Science College,
Shri Gujarati Samaj B.Ed College,
Shri Gulab Singh Mahavidyalaya,
Shri Gulab Singh Rajkiya Mahavidyalaya,
Shri Gumani Singh Mahavidyalaya,
