Name of the college,District,State
St. Johns College of Pharmaceutical Sciences Yerrakota  Yemmiganur-518 360  Dist. Kurnool,Kurnool,Andhra Pradesh
St. Josep's Teachers College of Education,Mysore,Karnataka
St. Joseph College of Arts and Commerce,,Maharashtra
St. Joseph College of Teacher Education for Women,,Kerala
St. Joseph College,Ukhrul,Manipur
St. Joseph Engineering College,,Karnataka
St. Joseph Girls Degree College,,Uttar Pradesh
St. Joseph Mahavidhyalaya,,Uttar Pradesh
St. Joseph Vaz College,,Goa
St. Joseph's College,,Kerala
St. Joseph's College,Bangalore,Karnataka
St. Joseph's College,Thrissur,Kerala
St. Joseph's College,,Kerala
ST. Joseph's College,,Tamil Nadu
St. Joseph's College,,West Bengal
St. Joseph's College,,Nagaland
ST. Joseph's College for Women,,Kerala
St. Joseph's College for Women,Visakhapatnam,Andhra Pradesh
St. Joseph's College of Commerce,,Karnataka
St. Joseph's College of Education for Women,Guntur,Andhra Pradesh
St. Joseph's Degree College,Kurnool,Andhra Pradesh
St. Joseph's Evening College,,Karnataka
St. Joseph's Training College,,Kerala
St. Joseph’s Academy of Higher Education & Research,,Kerala
St. Joseph’s Arts and Science College for Women,Sivagangai,Tamil Nadu
St. Joseph’s College,Hassan,Karnataka
St. Joseph’s College,,Jharkhand
St. Joseph’s College  (Arts & Science),Chennai,Tamil Nadu
St. Joseph’s College for Women,Tiruppur,Tamil Nadu
St. Joseph’s College for Women,,Uttar Pradesh
St. Joseph’s College of Arts & Science,,Tamil Nadu
St. Joseph’s College of Arts & Science for Women,Krishnagiri,Tamil Nadu
St. Joseph’s College of Engineering,Chennai,Tamil Nadu
St. Joseph’s Commerce College,Dharwad,Karnataka
St. Joseph’s Degree & PG College,,Telangana
St. Joseph’s Institute of Technology,Chennai,Tamil Nadu
ST. Josephs College of Engineering and Technology,,Kerala
St. Jude's College,,Tamil Nadu
St. Justin Arts and Science College for Women,Sivaganga,Tamil Nadu
St. Justin's College of Education,,Tamil Nadu
St. Mark Educational Institution Society Group of Institutions,Anantapur,Andhra Pradesh
St. Mark. N.T.R. College of Education,,Andhra Pradesh
St. Martin’s Engineering College,,Telangana
St. Mary's College,,Meghalaya
St. Mary's College,,Tamil Nadu
St. Mary's College,,Kerala
St. Mary's College,,Kerala
St. Mary's College,,Karnataka
St. Mary’s  Group of Institutions Guntur for Women,Guntur,Andhra Pradesh
St. Mary’s  Women’s Engineering College,Guntur,Andhra Pradesh
St. Mary’s Centenary College of Management,,Telangana
St. Mary’s Centenary Degree College,,Telangana
St. Mary’s College,,Kerala
St. Mary’s College of Teacher Education,,Meghalaya
St. Mary’s College,,Telangana
St. Mary’s Engineering College,,Telangana
St. Mary’s Group of Institutions,,Telangana
St. Michael College of Engineering and Technology,,Tamil Nadu
St. Michael's College,,Kerala
St. Mira's College of Girls,Pune,Maharashtra
St. Mother Theresa Engineering College,,Tamil Nadu
St. Paul Institute of Professional Studies,Indore,Madhya Pradesh
St. Paul Institute of Professional Studies,Indore,Madhya Pradesh
St. Paul's C.M. College,,West Bengal
ST. Paul's College,,Kerala
St. Paul’s College of Arts and Science for Women,Coimbatore,Tamil Nadu
St. Paul’s College of Education,Prakasam,Andhra Pradesh
St. Pauls College of Pharmacy,Rangareddy,Telangana
St. Peter Degree College  St Peter Educational Premises,,Maharashtra
St. Peter's College,,Kerala
St. Peter’s College of Engineering and Technology,Chennai,Tamil Nadu
St. Peter’s Engineering College,Rangareddy,Telangana
St. Peter’s Institute of Pharmaceutical Sciences,,Telangana
St. Philomena's College,Mysore,Karnataka
St. Philomena's College,,Karnataka
St. Pious X Degree & PG College for Women,,Telangana
St. Pius Xth College,,Kerala
St. R.C. College of Higher Education,,Uttar Pradesh
St. Stephen's College,,Delhi
St. Stephen's College,,Kerala
St. Stephen's College,,Kerala
St. Tereasa's Institute of Education,,Maharashtra
St. Teresa Degree College for Women,Bangalore,Karnataka
St. Teresa's College,,Kerala
St. Thomas College,,Kerala
St. Thomas College,,Kerala
St. Thomas College,,Kerala
St. Thomas College,Dakshina Kannada,Karnataka
St. Thomas College,,Kerala
St. Thomas College,,Chhattisgarh
St. Thomas College of Engineering & Technology,,Kerala
St. Thomas College of Teacher Education,,Kerala
St. Vencent College of Commerce,Pune,Maharashtra
St. Vincent Pallotti College,,Chhattisgarh
St. Vincent Pallotti College of Engineering & Technology,Nagpur,Maharashtra
St. Wilfred’s College for Girls,,Rajasthan
St. Wilfred’s P.G. College,,Rajasthan
St. Xavier College,,Nagaland
St. Xavier College,Senapati,Manipur
St. Xavier's College,,Gujarat
St. Xavier's College,,Jharkhand
St. Xavier's College,,Maharashtra
St. Xavier's College,,Kerala
St. Xavier's College,,Goa
St. Xavier's College,,Kerala
St. Xavier's College,,West Bengal
St. Xavier's College,,Tamil Nadu
St. Xavier's College for Women,,Kerala
St. Xavier's College Jaipur,Jaipur,Rajasthan
St. Xavier's College of Education,,Tamil Nadu
St. Xavier's College of Education,Patna,Bihar
St. Xavier's Institute of Education,,Maharashtra
St. Xavier’s Catholic College of Engineering,Kanniyakumari,Tamil Nadu
St. Xavier’s College,Latehar,Jharkhand
St. Xavier’s College,Dumka,Jharkhand
St. Xavier’s College,Simdega,Jharkhand
St. Xavier’s PG College,,Rajasthan
Standard College,,Manipur
Stani Memorial P.G CollegeSMPGC Campus,,Rajasthan
Stanlay Medical College,,Tamil Nadu
Stanley College of Engineering & Technology for Women,Hyderabad,Telangana
State Ayurvedic College,,Uttar Pradesh
State College of Teacher Education,,Nagaland
State Institute of Physical Education for Women,,West Bengal
Stella Maris College,,Tamil Nadu
Stella Mary’s College of Engineering,Kanyakumari,Tamil Nadu
Stella Matutina College of Education,,Tamil Nadu
Stephens Institute of Paramedical Sciences,Jammu,Jammu and Kashmir
Stewart Science College,,Odisha
Sth. Bankatswami Mahavidyalaya,,Maharashtra
Subanarakha Mahavidyalaya,,West Bengal
Subansiri College,Lakhimpur,Assam
Subarnarekha Mahavidyalaya,,Odisha
Subbalakshmi Lakshmipathy  College of Science,,Tamil Nadu
Subedar Singh Mahavidyalaya,Sultanpur,Uttar Pradesh
Subhadara Devi Mularam Krishak Mahavidyalaya,,Uttar Pradesh
Subhadra Educational Society’s S.N.B.P. College,Pune,Maharashtra
Subhadra Mahatap College,,Odisha
Subhan Institute of Educational Technology and College of Education,Kashmir,Jammu and Kashmir
Subharam Government Degree College,Chittoor,Andhra Pradesh
Subhas Bose Institute of Hotel Management.,Kolkata,West Bengal
Subhas Chandra Bose Covtenary College,,West Bengal
Subhash Chandra Bose Institute of Higher Education,Lucknow,Uttar Pradesh
Subhash Chandra Bose P.G. College,,Uttar Pradesh
Subhash Chandra Mahavidyalaya,Varanasi,Uttar Pradesh
Subhash Chandra Snatak Mahavidyalaya,Gonda,Uttar Pradesh
Subhash Smarak Degree College,Rampur,Uttar Pradesh
Subhwanti Institute of Education,Siwan,Bihar
Sudam Charan Degree College,,Odisha
Sudama Devi Mahila Mahavidyalaya,Chandauli,Uttar Pradesh
Sudarshan Degree College,Lalitpur,Uttar Pradesh
Sudha Devi Mahavidyalaya,Varanasi,Uttar Pradesh
Sudha Rustagi College of Dental Sciences and Research,Faridabad,Haryana
Sudha Sureshbhai Maniar College of Computer and Management,Nagpur,Maharashtra
Sudhagad Education Society’s Sheth J.N. Paliwala Commerce College Science & Arts College,,Maharashtra
Sudhakar Mahila P.G. College,,Uttar Pradesh
Sudhakar Singh Foundation Mahavidyalaya,Jaunpur,Uttar Pradesh
Sudharsan College of Arts and Science,Pudukkottai,Tamil Nadu
Sudhiranjan Lahari Mahavidyalaya,,West Bengal
Suganthi Devadason Marine Research Institute,,Tamil Nadu
Suguna College of Engineering,Coimbatore,Tamil Nadu
Sugwanti Smarak Mahavidyalaya,Mau,Uttar Pradesh
Sujatha Degree & P.G. College for Women,,Telangana
Sukanta Mahavidyalaya,,West Bengal
Sukdev Singh Lavkush Mahavidyalaya,,Uttar Pradesh
Sukhai Singh Mahavidyalaya,,Uttar Pradesh
Sukhdai Smarak Mahavidyalaya,,Uttar Pradesh
Sukhdeo Sahay Madheshwar Sahay Degree College,Palamu,Jharkhand
Sukhdev Kisan Degree College,,Uttar Pradesh
Sukhmaya Mahila P.G. College,,Uttar Pradesh
Sukhram Singh Mahavidyalaya,,Uttar Pradesh
Sukinda College,,Odisha
Sukruli Degree College,,Odisha
Sukumar Sengupta Mahavidyalaya,Paschim Medinipur,West Bengal
Sukus Mission College (Arts),,Nagaland
Sullamussalam Arabic College,,Kerala
Sullamussalam Science College,,Kerala
Sultan-Ul-Uloom College of Pharmacy,Hyderabad,Telangana
Sultanat Bahadur P.G. College,,Uttar Pradesh
Suman Satyanarayan Janhit Mahavidyalaya,Unnao,Uttar Pradesh
Sumathi Reddy Institute of Technology for Women,,Telangana
Sumitra Mahavidyalaya,,Uttar Pradesh
Sun College of Engineering and Technology,Kanyakumari,Tamil Nadu
Sunbeam College for Women,,Uttar Pradesh
Sunbeam Women’s College Varuna 904/1 Central Jail Road Sikraul Varanasi – 221 002 Uttar Pradesh,Varanasi,Uttar Pradesh
Sundarabai B. Patil Women’s College of Education,,Karnataka
Sunder Singh College,,Bihar
Sunderban Hazi Desarat College,,West Bengal
Sunderban Mahavidyalaya,,West Bengal
Sunderrao Solanke Mahavidyalaya,,Maharashtra
Sundershan College,Rewa,Madhya Pradesh
Sundra Vati Mahila College,,Bihar
Sunniyya Arabic College,,Kerala
Supreme Knowledge Foundation Group of Institutions,,West Bengal
Suraj Bhan College,Pilibhit,Uttar Pradesh
Suraj Gyan Mahavidyalaya,Jalaun,Uttar Pradesh
Surajmal College,,Odisha
Surajmal Saha Mahavidyalaya,Puri,Odisha
Surana College,,Karnataka
Surana College,,Karnataka
Surat Pandey Degree College,,Jharkhand
Suratgarh P.G. College,,Rajasthan
Suren Das College,Kamrup,Assam
Surendra Prasad Shukla Mahila Mahavidyalaya,,Uttar Pradesh
Surendranath College,,West Bengal
Surendranath College for Women,,West Bengal
Surendranath Evening College,Kolkata,West Bengal
Surendranath Law College,,West Bengal
Suresh Chandra Mishra Mahavidyalaya,,Uttar Pradesh
Suresh Kumar Singh Shiv Prasad Mahavidyalaya,Hardoi,Uttar Pradesh
Suri Vidyasagar College,,West Bengal
Surjan Devi Anusuiya Devi Degree College,Lucknow,Uttar Pradesh
Surya Baksh Pal Smarak Degree College,,Uttar Pradesh
Surya Bali Yadav Mahavidyalaya,,Uttar Pradesh
Surya College of Education,Jammu,Jammu and Kashmir
Surya Engineering College,Erode,Tamil Nadu
Surya Sen Mahavidyalaya,,West Bengal
Surya Sen Mahavidyalaya,,West Bengal
Suryadatta Education Foundation Suryadatta Institute of Business Management & Technology,Pune,Maharashtra
Suryadatta Education Foundation Suryadatta Institute of Management & Mass Communicatioin,Pune,Maharashtra
Suryadatta Education Foundation’s Suryadatta College of Hospitality Management & Travel Tourism (SCHMTT),Pune,Maharashtra
Suryadatta Education Foundation’s Suryadatta College of Management Information Research & Technology (SCMIRT),Pune,Maharashtra
Suryaddataa Education Foundation’s SCMIRT Night College,Pune,Maharashtra
Suryamukhi Dinesh Ayurved Medical College and Hospital,,Jharkhand
Suryapal Singh Patel Mahavidyalaya,,Uttar Pradesh
Suryodaya College of Engineering & Technology,Nagpur,Maharashtra
Susana Methodist Girls’ B.Ed. College,,Uttarakhand
Sushalavati Government Women's College,,Odisha
Sushant Teachers Training College,Muzaffarpur,Bihar
Sushil Institute of Management & Technology,Meerut,Uttar Pradesh
Sushil Kar College,,West Bengal
Sushil Verma Memorial Girls Degree College,Lakhimpur,Uttar Pradesh
Sushila Devi Mahavidyalaya,Allahabad,Uttar Pradesh
Sushila Rai Mahila Mahavidyalaya,Azamgarh,Uttar Pradesh
SVE Socity's Arts and Commerce,,Karnataka
SVR Engineering College,Kurnool,Andhra Pradesh
SVS College of Engineering,Coimbatore,Tamil Nadu
SVS Group of Institutions,Warangal,Telangana
Sw. Badan Singh Kushwaha Kanya Mahavidyalaya,Kanpur Nagar,Uttar Pradesh
Sw. Badan Singh Kushwaha Smarak Mahavidyalaya,Kanpur Nagar,Uttar Pradesh
Sw. Bhagawanti Devi Degree College,,Uttar Pradesh
Sw. Chandrashekhar Ji Poorva Pradhanmantri Smarak Mahavidyalaya,Ghazipur,Uttar Pradesh
Sw. Daya Shankar Patel Mahavidyalaya,,Uttar Pradesh
Sw. Dhanraj Singh Mahavidyalaya,,Uttar Pradesh
Sw. Dileep Kumar Smarak Mahavidyalaya,,Uttar Pradesh
Sw. Haripal Singh Mahavidyalaya,Fatehpur,Uttar Pradesh
Sw. Kripa Shankar Tiwari Mahavidyalaya,,Uttar Pradesh
Sw. Krishna Devi Shankar Singh Mahila Shikshan Sansthan,Kanpur Dehat,Uttar Pradesh
Sw. Mahadev Prasad Smarak Mahila Mahavidyalaya,,Uttar Pradesh
Sw. Malti Singh Mahavidyalaya,Jaunpur,Uttar Pradesh
Sw. Pandit Nawal Kishore Sharma Government P.G. College,,Rajasthan
Sw. Pt. Ramdular Pandey Mahavidyalaya,,Uttar Pradesh
Sw. Shri Baburam Mahavidyalaya,Hamirpur,Uttar Pradesh
Sw. Shri Ram Bharose Lal Verma Government Shastri Sanskrit College,,Rajasthan
Sw. Smt. Indira Gandhi Shaskiya Kanya Mahavidyalaya,,Madhya Pradesh
Sw. Sunder Lal Shivhare Degree College,Hamirpur,Uttar Pradesh
Sw. Tilak Raj Singh Mahavidyalaya,Kaushambi,Uttar Pradesh
Sw. Yashoda Kanya Mahavidyalaya,,Uttar Pradesh
Swa. Sawarkar Mahavidyalaya,,Maharashtra
Swahid Maniram Dewan College,Sivaganga,Assam
Swahid Peoli Phukon College,Sivaganga,Assam
Swahid Smriti Mahavidyalaya,Nalbari,Assam
Swami Avdhutanand Mahavidyalaya,Mainpuri,Uttar Pradesh
Swami Basudevacharya Anugraha Narayan College,,Bihar
Swami Dayanand Degree College,Bareilly,Uttar Pradesh
Swami Dayananda College of Arts and Science,,Tamil Nadu
Swami Devanand P.G. College,,Uttar Pradesh
Swami Dhananjoy Das Kathiababa Mahavidyalaya,Bankura,West Bengal
Swami Dharnidhar College,,Bihar
Swami Educational Complex Mahavidyalaya,,Uttar Pradesh
Swami Ganga Girl Janta Girls College,,Punjab
Swami Girishanand Degree College,,Uttar Pradesh
Swami Jaidev Yogiraj Mahavidhyalaya,Shahjahanpur,Uttar Pradesh
Swami Kalyan Dev Degree College,,Uttar Pradesh
Swami Kalyan Dev Mahila Mahavidyalaya,Bijnor,Uttar Pradesh
Swami Kalyananand Mahavidyalaya,,Uttar Pradesh
Swami Karapatry Jee Maharaj Government Degree College,,Uttar Pradesh
Swami Keshvanand Institute of Technology,Jaipur,Rajasthan
Swami Keshwanand Gramothan Vidyapeeth,,Rajasthan
Swami Muktanand College of Science,,Maharashtra
Swami Niswambalananda Girls College,,West Bengal
Swami Premanand Mahavidyalaya,,Punjab
Swami Ramanand Teerth Mahavidyalaya,,Maharashtra
Swami Ramanand Teerth Rural Medical College,,Maharashtra
Swami Ramprapannacharya Madrasi Swami Raghwacharya Ramanuj Sanskrit Mahavidyalaya,Mathura,Uttar Pradesh
Swami Sahajanand College,,Jharkhand
Swami Sahajanand College of Arts,Bhavnagar,Gujarat
Swami Sahajanand College of Commerce & Management,,Gujarat
Swami Sahajanand College of Computer Science,,Gujarat
Swami Sahajanand College of Information Technology,,Gujarat
Swami Sahajanand Institute of Commerce,Bhavnagar,Gujarat
Swami Sahajanand Janta Mahavidyalaya,,Uttar Pradesh
Swami Sahajanand Mahavidyalaya,,Uttar Pradesh
Swami Sahajanand Snatkottar Mahavidyalaya,,Uttar Pradesh
Swami Satyamitranand Mahavidyalaya,,Uttar Pradesh
Swami Sharan Mahavidyalaya,Chandauli,Uttar Pradesh
Swami Shraddhanand College,,Delhi
Swami Shri Swaroopanand Saraswati Mahavidyalaya,,Chhattisgarh
Swami Shukdevanand College,,Uttar Pradesh
Swami Shukhdavanand Law College,,Uttar Pradesh
Swami Swantantra Nand Memorial College,,Punjab
Swami Swaroopanand Institute of Management & Technology,,Uttar Pradesh
Swami Vivekanand  Mahavidyalaya,Ambedkar Nagar,Uttar Pradesh
Swami Vivekanand College of Computer Science,,Gujarat
Swami Vivekanand College of Higher Education,Unnao,Uttar Pradesh
Swami Vivekanand College of Higher Education,Pilibhit,Uttar Pradesh
Swami Vivekanand Education Trust M.Ed. College,,Gujarat
Swami Vivekanand Governemnt College,,Uttarakhand
Swami Vivekanand Government College,Agar Malwa,Madhya Pradesh
Swami Vivekanand Government College,Ujjain,Madhya Pradesh
Swami Vivekanand Government College,,Rajasthan
Swami Vivekanand Govt. College,,Madhya Pradesh
Swami Vivekanand Govt. College,,Madhya Pradesh
Swami Vivekanand Govt. College,,Madhya Pradesh
Swami Vivekanand Govt. College,,Himachal Pradesh
Swami Vivekanand Govt. P.G. College,,Madhya Pradesh
Swami Vivekanand Homoeopathic Medical College & Hospital,,Gujarat
Swami Vivekanand Mahavidyalaya,,Uttar Pradesh
Swami Vivekanand Mahavidyalaya,,Maharashtra
Swami Vivekanand Mahavidyalaya,,Uttar Pradesh
Swami Vivekanand Mahavidyalaya,Jhansi,Uttar Pradesh
Swami Vivekanand Mahavidyalaya,Banda,Uttar Pradesh
Swami Vivekanand Mahavidyalaya,,Uttar Pradesh
Swami Vivekanand Mahavidyalaya,,Maharashtra
Swami Vivekanand Mahila Mahavidyalaya,Lucknow,Uttar Pradesh
Swami Vivekanand S.S. Mahavidyalaya,,Uttar Pradesh
Swami Vivekanand Vidyaprasarak Mandal’s College of Commerce,North Goa,Goa
Swami Vivekananda College,,Madhya Pradesh
Swami Vivekananda Institute of Science & Technology,South Twenty Four Parganas,West Bengal
Swami Vivekananda Institute of Technology,,Telangana
Swami Vivekananda Mahavidyalaya,West Tripura,Tripura
Swami Vivekananda Mahavidyalaya,,Maharashtra
Swami Vivekananda Memorial College,,Odisha
Swami Vivekananda Sarvodya Bank College of Education,,Gujarat
Swami Vivkeanand Sr. College,,Maharashtra
Swami Yogananda Giri College,Kokrajhar,Assam
Swamy Vivekanand Adarsh Mahavidyalaya,,Madhya Pradesh
Swantantra Sanik Late Kanhaiyalalji Ramchandra Inani Mahavidyalaya,,Maharashtra
Swantatrya Sainik Suryabhanji Pawar Art’s College,,Maharashtra
Swar Mahila Mahavidyalaya,Rampur,Uttar Pradesh
Swarg Mandir Kanya Mahavidyalaya,,Madhya Pradesh
Swargiya Balram Singh Smarak Mahavidyalaya.,Ballia,Uttar Pradesh
Swargiya Bishwanath Singh Sharma Mahavidyalaya,,Bihar
Swargiya Nagulal Malviya Government College,Ujjain,Madhya Pradesh
Swargiya Ramvilash Singh Shikshan  Sanstha Mahila Mahavidyalaya,Chandauli,Uttar Pradesh
Swargiya Ramvilash Singh Shikshan Sanstha,Chandauli,Uttar Pradesh
Swargiya Subedar Singh Smriti Mahila Mahavidyalaya,Varanasi,Uttar Pradesh
Swarn Jayanti Mahavidyalaya,,Uttar Pradesh
Swarna Bharathi Institute of Science & Technology,,Telangana
Swarnachuda College,,Odisha
Swarnamoyee Jogendranath Mahavidyalaya,,West Bengal
Swarnandhra College of Engineering & Technology,West Godavari,Andhra Pradesh
Swatantra Girls Degree College,,Uttar Pradesh
Swatantra Sangram Senani Swargiya Parashu Ram Umrao Mahavidyalaya,,Uttar Pradesh
Swatantrata Sangram Senani  Vishram Singh Government P.G. College,,Uttar Pradesh
Swatantrata Sangram Senani Mahendra Degree College,,Uttar Pradesh
Swatantrata Sangram Senani Paramhans Mishra Vanshraji Devi Mahila Mahavidyalaya,Mau,Uttar Pradesh
Swatantrata Sangram Senani Swargiya Sri Pan Singh Bisht Rajkiya Mahavidyalaya,Almora,Uttarakhand
Swatantrata Senani Shri Prabhu Narayan Singh Mahavidyalaya,,Uttar Pradesh
Swatantrya Sainik Shri Kanhaiyalalji Ramchandra Innani Mahavidyalaya,,Maharashtra
Swatantrya Senani Ramrao Awargaonkar Law College,,Maharashtra
Swava College of Arts Science & Comm. Of Management,Bangalore,Karnataka
Swavalambi College of Education,,Maharashtra
Sweekar Academy of Rehabilitation Sciences,,Telangana
Swoddharak Vidyarthi Sansth's Dadasaheb Rawal College,,Maharashtra
Syadwad Institute of Higher Education & Research,,Uttar Pradesh
Syamprasad College (Evening),,West Bengal
Syampur Siddheswari Mahavidyalaya,,West Bengal
Syamsundar College,,West Bengal
Syana Degree College,,Uttar Pradesh
Sydenham College of Commerce and Econnomics,Mumbai,Maharashtra
Syed Ammal Arts & Science College,Ramanathapuram,Tamil Nadu
Syed Ammal Engineering College,Ramanathapuram,Tamil Nadu
Syed Appalaswamy College,Krishna,Andhra Pradesh
Syed Degree College Village Nadwari,,Uttar Pradesh
